epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,4478.19,0.40012,0.39027,0.98414,0.82661,0.73085,0.81476,0.7059,0.55542,0.68708,1.04074,0.001618,0.001618,0.001618
129,4511.1,0.38852,0.38788,0.99134,0.84764,0.71155,0.82132,0.71609,0.54077,0.70801,1.02275,0.001552,0.001552,0.001552
130,4547.23,0.38762,0.37456,0.98799,0.78474,0.79566,0.8314,0.72298,0.53902,0.68719,1.02556,0.001486,0.001486,0.001486
131,4581.75,0.37325,0.36852,0.98071,0.84311,0.72199,0.82314,0.72192,0.52879,0.69875,1.02022,0.00142,0.00142,0.00142
132,4616.3,0.36883,0.36456,0.99259,0.80056,0.72937,0.81328,0.70577,0.5579,0.74259,1.0416,0.001354,0.001354,0.001354
133,4649.79,0.38675,0.37624,0.98649,0.80761,0.75988,0.82253,0.7239,0.54037,0.70312,1.02458,0.001288,0.001288,0.001288
134,4685,0.38778,0.37061,0.97891,0.83046,0.71006,0.80754,0.71374,0.5338,0.72969,1.02384,0.001222,0.001222,0.001222
135,4732.54,0.38045,0.37376,0.98138,0.85641,0.71319,0.8178,0.71091,0.53949,0.72788,1.02421,0.001156,0.001156,0.001156
136,4767.2,0.37795,0.378,0.97521,0.82317,0.76305,0.82917,0.7297,0.51801,0.68744,1.0138,0.00109,0.00109,0.00109
137,4800.93,0.39,0.36007,0.97765,0.82419,0.76254,0.82764,0.72279,0.52649,0.68457,1.02141,0.001024,0.001024,0.001024
138,4834.56,0.36674,0.36346,0.97818,0.84124,0.73397,0.81992,0.72451,0.53385,0.69628,1.02368,0.000958,0.000958,0.000958
139,4868.56,0.37723,0.36883,0.9874,0.85175,0.72318,0.81328,0.71775,0.53515,0.70431,1.02885,0.000892,0.000892,0.000892
140,4905.13,0.3551,0.35235,0.97441,0.84153,0.743,0.81832,0.71921,0.53101,0.71057,1.02368,0.000826,0.000826,0.000826
141,5130.03,0.58598,0.79677,1.14582,0.8095,0.75188,0.80904,0.70774,0.55228,0.72398,1.04297,0.00076,0.00076,0.00076
142,5167.96,0.54765,0.65872,1.07942,0.81784,0.73753,0.80093,0.69855,0.53735,0.69331,1.0271,0.000694,0.000694,0.000694
143,5205.29,0.52789,0.6264,1.0749,0.80563,0.76542,0.82291,0.7204,0.53882,0.67467,1.02172,0.000628,0.000628,0.000628
144,5240.16,0.52101,0.61046,1.07584,0.84222,0.74724,0.83396,0.73175,0.53307,0.66906,1.01408,0.000562,0.000562,0.000562
145,5275.23,0.51633,0.57764,1.06055,0.84628,0.75834,0.83804,0.73949,0.51895,0.65045,1.00581,0.000496,0.000496,0.000496
146,5304.04,0.50901,0.57349,1.07191,0.84017,0.76051,0.84229,0.74125,0.50884,0.634,0.99745,0.00043,0.00043,0.00043
147,5332.64,0.49758,0.55913,1.0519,0.83579,0.76916,0.84613,0.74353,0.51357,0.63311,0.99722,0.000364,0.000364,0.000364
148,5369.35,0.49523,0.52643,1.05079,0.84555,0.76614,0.84804,0.74599,0.51335,0.63852,0.9961,0.000298,0.000298,0.000298
149,5413.36,0.49595,0.57133,1.04228,0.8228,0.76566,0.84775,0.74596,0.50772,0.62931,0.99286,0.000232,0.000232,0.000232
150,5450.12,0.49267,0.53684,1.04715,0.81466,0.77825,0.84966,0.74951,0.50502,0.61387,0.99024,0.000166,0.000166,0.000166
